Gemeente,Provincie,Stemmen op coalitie,Stemmen op PVV,Inwoners,Benzine,Diesel,Alles elektrisch,Aardgas,Alcohol,Elektriciteit,Hybride,Hybride met stekker,LNG,LPG,Waterstof,Bevolkingsdichtheid,Huishoudgrootte,Koopwoningen,Huurwoningen,Huurwoningen corporatie,Huurwoningen overig,WOZ,Gemeentenaam Allecijfers,Regio's,predicted_electric
Winterswijk,Gelderland,0.67,0.2,29253,74%,17%,8.63,0%,0%,"1,99%","6,30%","0,34%",0%,"0,95%",0%,212,"2,17",70.2,"29,7","16,8","12,9",300,Gemeente Winterswijk,Winterswijk,7.7981921689636255
Woensdrecht,Noord-Brabant,0.74,0.37,22191,72%,16%,11.0,0%,0%,"2,62%","7,90%","0,48%",0%,"0,70%",0%,242,"2,2",72.7,"27,1","18,2","8,9",343,Gemeente Woensdrecht,Woensdrecht,9.468911270049125
Woerden,Utrecht,0.54,0.19,53244,66%,18%,14.45,0%,0%,"4,53%","9,10%","0,82%",0%,"0,83%",0%,607,"2,3",65.8,"34,2","22,6","11,6",412,Gemeente Woerden,Woerden,12.419990828770864
Wormerland,Noord-Holland,0.59,0.25,16612,71%,16%,11.6,0%,0%,"3,06%","7,90%","0,64%",0%,"1,37%",0%,430,"2,23",63.5,"36,5","29,8","6,7",421,Gemeente Wormerland,Wormerland,12.437642124395774
Woudenberg,Utrecht,0.49,0.19,14358,67%,21%,10.52,0%,0%,"2,69%",7%,"0,83%",0%,"1,34%",0%,401,"2,52",70.5,"29,5","20,4","9,1",491,Gemeente Woudenberg,Woudenberg,14.516783387331644
Zaanstad,Noord-Holland,0.53,0.26,159618,71%,15%,12.71,0%,0%,"2,98%",9%,"0,73%",0%,"1,21%",0%,2189,"2,18",54.2,"45,7","36,2","9,5",391,Gemeente Zaanstad,Zaanstad,14.625992848491261
Zaltbommel,Gelderland,0.52,0.23,30349,65%,25%,9.65,0%,0%,"3,36%","5,80%","0,49%",0%,"0,87%",0%,386,"2,37",67.4,"32,6","23,2","9,4",378,Gemeente Zaltbommel,Zaltbommel,12.068198010345384
Zandvoort,Noord-Holland,0.67,0.31,17542,74%,13%,12.43,0%,0%,"2,94%","8,50%","0,99%",0%,"1,26%",0%,545,"1,93",53.8,"45,3","29,6","15,7",460,Gemeente Zandvoort,Zandvoort,13.20380989850812
Zeewolde,Flevoland,0.64,0.25,23692,63%,23%,13.05,0%,0%,"4,22%","8,20%","0,63%","0,11%","1,25%",0%,97,"2,28",69.6,"30,3","21,4","8,9",418,Gemeente Zeewolde,Zeewolde,11.22018272555082
Zeist,Utrecht,0.45,0.15,66629,68%,13%,17.62,0%,0%,"6,60%",10%,"1,02%",0%,"1,03%",0%,1374,"2,1",52.7,"47,2","28,6","18,6",523,Gemeente Zeist,Zeist,16.78331940961013
Zevenaar,Gelderland,0.67,0.29,45042,73%,15%,11.04,0%,0%,"2,83%",8%,"0,21%",0%,"1,07%",0%,486,"2,16",64.2,"35,8","27,9","7,9",320,Gemeente Zevenaar,Zevenaar,9.559374522762795
Zoetermeer,Zuid-Holland,0.61,0.29,126998,73%,10%,15.88,0%,0%,"4,17%",11%,"0,71%",0%,"0,85%",0%,3730,"2,2",55.2,"44,8","34,5","10,3",363,Gemeente Zoetermeer,Zoetermeer,14.70971933813382
Zoeterwoude,Zuid-Holland,0.59,0.22,9443,67%,19%,12.86,0%,0%,"3,14%","9,10%","0,62%",0%,"0,53%",0%,460,"2,26",68.9,"31,1","15,6","15,5",469,Gemeente Zoeterwoude,Zoeterwoude,13.094324429127223
Zuidplas,Zuid-Holland,0.59,0.25,46981,68%,17%,13.86,0%,0%,"4,04%","9,20%","0,62%",0%,"1,03%",0%,825,"2,43",68.8,"31,2","25,3","5,9",434,Gemeente Zuidplas,Zuidplas,12.97078446462743
Zundert,Noord-Brabant,0.73,0.29,22518,70%,20%,8.71,0%,0%,"2,72%","5,70%","0,29%",0%,"1,02%",0%,187,"2,22",74.8,"25,1","13,2","11,9",434,Gemeente Zundert,Zundert,10.72474779773505
Zutphen,Gelderland,0.48,0.19,48510,73%,14%,11.05,0%,0%,"2,83%","7,60%","0,62%",0%,"1,56%",0%,1191,"2,05",56.2,"43,8","29,9","13,9",322,Gemeente Zutphen,Zutphen,12.039267564007991
Zwartewaterland,Overijssel,0.52,0.23,23368,60%,28%,10.88,0%,0%,"3,40%","6,90%","0,58%",0%,"0,97%",0%,285,"2,57",71.9,"28,1","19,7","8,4",315,Gemeente Zwartewaterland,Zwartewaterland,10.44957457365393
Zwijndrecht,Zuid-Holland,0.6,0.3,45018,73%,13%,12.36,0%,0%,"2,51%","9,30%","0,55%",0%,"1,01%",0%,2210,"2,16",56.8,"43,1","36,8","6,3",314,Gemeente Zwijndrecht,Zwijndrecht,12.330040008941566
Zwolle,Overijssel,0.46,0.16,132411,66%,19%,14.24,"0,09%",0%,"4,23%","9,40%","0,61%",0%,"0,96%",0%,1203,"2,07",52.8,"47,1","32,5","14,6",355,Gemeente Zwolle,Zwolle,12.844023055262777
