Gemeente,Provincie,Stemmen op coalitie,Stemmen op PVV,Inwoners,Benzine,Diesel,Alles elektrisch,Aardgas,Alcohol,Elektriciteit,Hybride,Hybride met stekker,LNG,LPG,Waterstof,Bevolkingsdichtheid,Huishoudgrootte,Koopwoningen,Huurwoningen,Huurwoningen corporatie,Huurwoningen overig,WOZ,Gemeentenaam Allecijfers,Regio's,predicted_electric
De Wolden,Drenthe,0.69,0.23,24602,63%,28%,7.9,0%,0%,"2,18%","5,30%","0,42%",0%,"1,52%",0%,110,"2,31",74.8,"25,2","17,1","8,1",396,Gemeente De Wolden,De Wolden,9.742882059931649
Delft,Zuid-Holland,0.4,0.17,106086,72%,13%,14.7,0%,0%,"3,99%",10%,"0,71%",0%,"0,77%",0%,4835,"1,71",36.7,63,"41,7","21,3",336,Gemeente Delft,Delft,17.28032217761913
Den Helder,Noord-Holland,0.67,0.34,56539,75%,13%,10.29,0%,0%,"2,43%","7,40%","0,46%",0%,"1,42%",0%,1251,"1,99",55.0,"44,9","36,4","8,5",242,Gemeente Den Helder,Den Helder,9.307978423892894
Deurne,Noord-Brabant,0.71,0.3,32977,67%,23%,8.07,0%,0%,"2,42%","5,20%","0,45%",0%,"1,39%",0%,284,"2,25",66.3,"33,8","24,6","9,2",397,Gemeente Deurne,Deurne,10.586514330541434
Deventer,Overijssel,0.51,0.18,102781,72%,16%,11.14,0%,0%,"3,40%","7,20%","0,54%",0%,"1,29%",0%,792,"2,09",55.5,"44,5","29,4","15,1",342,Gemeente Deventer,Deventer,11.616281022578901
Diemen,Noord-Holland,0.43,0.17,32785,68%,15%,16.27,0%,0%,"4,42%",11%,"0,85%",0%,"0,67%",0%,2760,"1,95",39.7,"60,2","21,4","38,8",428,Gemeente Diemen,Diemen,16.828104094676053
Dijk en Waard,Noord-Holland,0.62,0.25,88985,70%,16%,13.07,"0,05%",0%,"3,82%","8,40%","0,85%",0%,"1,38%",0%,1455,"2,33",70.9,"29,1","19,9","9,2",392,Gemeente Dijk en Waard,Dijk en Waard,12.195337053170203
Dinkelland,Overijssel,0.84,0.23,26743,65%,26%,8.84,0%,0%,"2,83%","5,80%","0,21%",0%,"0,49%",0%,152,"2,45",74.5,"25,4","12,2","13,2",413,Gemeente Dinkelland,Dinkelland,8.174889884399098
Doesburg,Gelderland,0.57,0.25,11081,75%,14%,9.28,0%,0%,"2,70%","6,20%","0,38%",0%,"1,44%",0%,959,"2,02",54.0,46,"38,9","7,1",298,Gemeente Doesburg,Doesburg,10.734871870406637
Doetinchem,Gelderland,0.62,0.25,59195,72%,16%,10.98,0%,0%,"3,03%","7,40%","0,55%",0%,"1,08%",0%,754,"2,17",59.4,"40,5","28,4","12,1",313,Gemeente Doetinchem,Doetinchem,10.060857817161422
Dongen,Noord-Brabant,0.64,0.27,27200,73%,15%,11.46,0%,0%,"2,94%",8%,"0,52%",0%,"0,86%",0%,927,"2,24",70.5,"29,4","20,1","9,3",353,Gemeente Dongen,Dongen,10.75661956433254
Dordrecht,Zuid-Holland,0.52,0.24,121434,66%,17%,16.12,0%,0%,"5,80%","9,80%","0,52%",0%,"0,78%",0%,1574,"2,09",57.8,"42,2","27,6","14,6",310,Gemeente Dordrecht,Dordrecht,12.065661987296709
Drechterland,Noord-Holland,0.66,0.25,20385,67%,21%,9.92,0%,0%,"3,15%","6,10%","0,67%",0%,"2,03%",0%,348,"2,32",73.8,"26,1","19,5","6,6",413,Gemeente Drechterland,Drechterland,10.976019743167289
Drimmelen,Noord-Brabant,0.7,0.31,27994,69%,19%,10.8,0%,0%,"2,96%","7,30%","0,54%",0%,"1,15%",0%,297,"2,25",71.9,"28,1","22,5","5,6",413,Gemeente Drimmelen,Drimmelen,11.038556205848332
Dronten,Flevoland,0.66,0.25,43593,64%,22%,12.64,0%,0%,"3,95%","7,90%","0,79%",0%,"1,83%",0%,133,"2,23",68.2,"31,7","24,3","7,4",354,Gemeente Dronten,Dronten,9.60303370524761
